version	name	statements_md5	statement_count	executable_md5
20260605224132	load_pass3_registry_batch_to_staging_20260605	77cdb2065b26a431be0749c23ff7950f	1	c7f6960595f4ffd7ade9fd2ee6f4540a
20260605225538	pass3_registry_raw_headers_20260605	bb2c5dfb1d8a795bebd7e31f3f381b04	1	96093ff32c99020a998eef1593ab2bf3
20260605231514	pass3_registry_raw_sections_tables_batch_20260605	965392792a2ab834715a6f4603818fde	1	de91905fc43a748fc3c2cbd2fc61c0d2
20260609093826	nationwide_jurisdiction_substrate	027608d156a30a1ca32910e77f1a338c	1	ff35ef40e3f24f4fb00811bc383bedad
20260609122541	fix_legislator_contacts_chamber_text_with_compat_view	5f4cdc18172b361ee9b014a11fae0b79	1	5369526ed94aab8c861c5fdc1b04af3d
20260612180131	add_corpus_import_queue_worker_controls	949104a9309a26cbf854ce7978bcb60a	1	d723868d95d1a706519af6d83f530c34
20260612180225	add_corpus_import_queue_worker_control	e03811e68f97a18b968f64fe87ef5d85	1	aa1b4cb27a420635891f57612f68ede5
20260613083723	auto_queue_state_enriched_storage_objects	913fff6d8d7bad06d796bef256e6e864	1	14a8f5a3294207bce2c43bf1ecd7d55d
20260613094359	harden_search_path_and_security_invoker_views	8d1f8c3bb885a751822246caca87dc01	1	cd3a4db8f485ed89448b7b0f70696cf2
20260613100249	create_canonical_contacts_backfill_registry_contacts	debaf61da86603b4687379bd8b16d801	1	79dffa526d371053d846c63ecaec3ded
20260614205300	admin_change_log_timestamp_acl_timestamptz	d6c8efc83412dd248111981a456f5728	1	d6c8efc83412dd248111981a456f5728
20260614213814	create_docket_bill_state_cache	10df3f29ce18fb2f12f24d343c0f532c	1	0cfb95116f0e3535df21c8b91f4a7e41
20260614213931	enable_rls_docket_bill_state_cache	8cc05186bea07d73bde998965913b6e3	1	2412c783ebf210f2034181e362082071
20260622063640	add_users_auth_lookup_indexes	0e942ff9bb45d9fd8fa2ef93677cf870	1	0e942ff9bb45d9fd8fa2ef93677cf870
20260705144336	execute_sql_substrate_handoff_v2	dfa02f335d06225215d8347a87ec846d	1	c27a5cc94d373344251606326114f7d7
20260713055919	register_systemic_abuse_intelligence_family	35d736f8677ddafed9ee1c163d9c9d99	1	35d736f8677ddafed9ee1c163d9c9d99
20260713074738	v3_13_reconciliation_control	c9aa556ea1becb1c79e7725131fe6168	1	d5af81f63d271a3a324060d60916ee0a
20260713075935	stage_disability_deep_dive_v3_13	b7e4f5d0923502094e82ff5c6d67b81f	1	93d64e25fb2e2e470a680682f9f47121
20260713081607	load_disability_statute_candidates_v3_13	79f9226ac2d037665a8178973d0331bf	1	e5c48ed0e648f38d6d4efb97806e2ef2
20260713081625	classify_disability_statute_candidates_v3_13	e042253d3d6c8b44c0c7cf2f7d5f68d4	1	5d96932d78726f839a8ef53e02536d7f
20260713082050	load_disability_resource_candidates_batch_1	137cc0a0926dc4faeb4cad5327069bd5	1	04b2e747b15ca418fc0543ae0e3f29d9
20260713083902	load_disability_resource_candidates_batch_2	906fe521a7d96b62639b53ca3ef00859	1	9578d11671fbc79a0d462708666751ad
20260713084033	load_disability_resource_candidates_batch_3	fcbd13635ce30ec2b3a63893cca72aa2	1	ea5e924c347b84161e128cea24d32bc3
20260713084401	load_disability_resource_candidates_batch_4	b929e93b40241e64061fbbf9c6c3bcd3	1	96fbc930003e989c14f685a848443c15
20260713084626	load_disability_resource_candidates_batch_5	cbb5ff602702f3c5981a12a23effb6f2	1	d41c84320ed57bb958fb8883066efb53
20260713091637	create_corpus_artifact_manifest	a838c0e501451cd337098fbcae953270	1	29773aa421839849859208c011d55c2b
20260713093123	reconcile_generated_sql_source_manifest	0f20c9f8735b5ae62c28a12b4be3f3eb	1	d45aedcec4a320b586bdc3b90182fdb2
20260713095140	record_direct_sql_parse_audit	b51f8cfe32ea8c7e623cb06ac824b654	1	e0e44706c8a09f06baee290610a76270
